RIGHT_FOOT_DISPLACEMENT,LEFT_FOOT_DISPLACEMENT,R_HIP_PITCH_PRESENT_VELOCITY,R_HIP_PITCH_LOAD,L_HIP_PITCH_PRESENT_VELOCITY,L_HIP_PITCH_LOAD,R_KNEE_PRESENT_VELOCITY,R_KNEE_LOAD,L_KNEE_PRESENT_VELOCITY,L_KNEE_LOAD,R_ANKLE_PITCH_PRESENT_VELOCITY,R_ANKLE_PITCH_LOAD,L_ANKLE_PITCH_PRESENT_VELOCITY,L_ANKLE_PITCH_LOAD
-0.178472698,-0.178708091,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178396557,-0.178707329,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.185728252,0,-0.018572826,0,-0.037145652
-0.178497365,-0.178732517,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178545304,-0.178708091,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.037145652,0,-0.018572826
-0.178545304,-0.178655882,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.037145652,0,-0.037145652
-0.178545806,-0.178631983,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178421146,-0.178631983,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178497365,-0.178707329,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.037145652
-0.178472698,-0.178655882,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178521141,-0.178631456,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178521141,-0.17865633,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178521141,-0.178631983,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178472154,-0.17865712,0,0.018572826,0,0.037145652,0,-0.13000977,0,-0.16715543,0,-0.037145652,0,-0.037145652
-0.178497365,-0.178732517,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178521141,-0.178732517,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178521141,-0.17865633,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178545806,-0.178708091,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178521141,-0.178732517,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178545304,-0.178755614,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.037145652,0,-0.037145652
-0.178521141,-0.17865633,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178472698,-0.178655882,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178545806,-0.178708091,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178545806,-0.178631456,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178469622,-0.178631456,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178421146,-0.178631983,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178521141,-0.178708091,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178521141,-0.178708091,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178545806,-0.178655882,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178497365,-0.178780835,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178472698,-0.178732517,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178445036,-0.178707329,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.185728252,0,-0.018572826,0,-0.037145652
-0.178472698,-0.178732517,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178497365,-0.178631983,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178521141,-0.178655882,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178520561,-0.178631983,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.037145652,0,-0.018572826
-0.178445036,-0.178732517,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178497365,-0.178709974,0,0.018572826,0,0.037145652,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178545806,-0.178631983,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178472698,-0.178755614,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.037145652
-0.178521141,-0.178707329,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.037145652
-0.178469622,-0.178708091,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178520561,-0.178708091,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.037145652,0,-0.018572826
-0.178545806,-0.178708091,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178521141,-0.17865633,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178521141,-0.178731833,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.037145652
-0.178545806,-0.178631456,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178497365,-0.178707329,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178497365,-0.178633339,0,0.018572826,0,0.037145652,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178521141,-0.178680339,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178497365,-0.178707329,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.037145652
-0.178545806,-0.178731833,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.037145652
-0.178545806,-0.178707329,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.037145652
-0.178521141,-0.178732517,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178469622,-0.17865633,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178472698,-0.178755614,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.037145652
-0.178497365,-0.178631983,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178545806,-0.178732517,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178497365,-0.178731833,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.037145652
-0.178472698,-0.178655882,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178421146,-0.178732517,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178545806,-0.178631983,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178445036,-0.178732517,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178545806,-0.17865633,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178521141,-0.178732517,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.178497365,-0.17865633,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178521141,-0.178707329,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.037145652
-0.178545806,-0.178707329,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.185728252,0,-0.018572826,0,-0.037145652
-0.178396557,-0.178631983,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.16715543,0,-0.018572826,0,-0.018572826
-0.178472698,-0.178680339,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.018572826
