RIGHT_FOOT_DISPLACEMENT,LEFT_FOOT_DISPLACEMENT,R_HIP_PITCH_PRESENT_VELOCITY,R_HIP_PITCH_LOAD,L_HIP_PITCH_PRESENT_VELOCITY,L_HIP_PITCH_LOAD,R_KNEE_PRESENT_VELOCITY,R_KNEE_LOAD,L_KNEE_PRESENT_VELOCITY,L_KNEE_LOAD,R_ANKLE_PITCH_PRESENT_VELOCITY,R_ANKLE_PITCH_LOAD,L_ANKLE_PITCH_PRESENT_VELOCITY,L_ANKLE_PITCH_LOAD
-0.177287431,-0.176928564,0,-0.111436948,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.037145652
-0.177287431,-0.176931284,0,-0.111436948,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177309981,-0.176928564,0,-0.092864126,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.037145652
-0.177287431,-0.176931284,0,0,0,0.241446719,0,0.297165215,0,0.371456504,0,-0.222873896,0,-0.16715543
-0.177197654,-0.176888791,-0.095871292,0.877810359,-0.095871292,0.986314774,0,0.872922778,0,0.92864126,0,-0.687194526,0.095871292,-0.562072337
-0.177013783,-0.176691833,-0.719034731,0.8621701,-1.10251987,0.678396881,-0.431420833,0.662756622,-0.575227737,0.660801589,0.623163402,-0.875855327,0.719034731,-0.844574809
-0.176355897,-0.175465711,-2.30091095,-0.124144673,-2.876138926,-0.429130018,-0.958712935,0.253176928,-1.342198133,0.105571851,1.917425871,-0.691104591,2.20503974,-0.650048852
-0.175820243,-0.175195446,-3.11581707,-0.630498528,-3.259624004,-0.688172042,-1.246326804,0.082111441,-1.629812002,-0.084066473,2.732331991,-0.482893437,2.972010136,-0.281524926
-0.175929637,-0.175093486,-2.492653608,-0.764418364,-2.20503974,-0.779081106,-1.294262528,-0.184750736,-1.294262528,-0.240469202,3.01994586,0.13391985,3.11581707,0.314760506
-0.177328683,-0.175985157,-1.390133739,-0.792766392,-0.862841666,-0.736070395,-1.246326804,-0.345063537,-1.150455475,-0.479960889,1.917425871,0.25513196,1.917425871,0.403714567
-0.178331521,-0.175945386,-0.383485168,-0.630498528,-0.239678234,-0.572825015,-0.862841666,-0.271749765,-0.766970336,-0.425219953,0.862841666,0.067448683,0.719034731,0.139784947
-0.178732872,-0.175595562,0.191742584,-0.585532725,0.766970336,-0.336265892,0.239678234,-0.114369504,0,-0.297165215,-0.431420833,-0.005865103,-0.575227737,0.066471167
-0.178249079,-0.175277992,0.479356468,-0.444770277,1.10251987,-0.158357769,1.054584265,0.187683284,0.671099067,-0.1085044,-0.575227737,-0.082111441,-0.719034731,-0.009775171
-0.17811096,-0.174047151,0.814906001,-0.310850441,1.390133739,0.012707722,1.342198133,0.340175956,1.054584265,0.131964803,-0.671099067,-0.114369504,-0.671099067,-0.002932551
-0.178078906,-0.1735674,0.862841666,-0.322580636,1.150455475,-0.0400782,1.00664854,0.38514173,1.150455475,0.219941348,-0.623163402,0.022482894,-0.671099067,0.089931577
-0.178289484,-0.173608423,0.862841666,-0.248289347,0.910777271,-0.018572826,0.623163402,0.330400795,0.958712935,0.211143702,-0.719034731,-0.065493643,-0.623163402,0.04105572
-0.178406633,-0.173758479,0.671099067,-0.23851417,0.479356468,-0.080156401,0.239678234,0.182795703,0.383485168,0.110459432,-0.623163402,-0.051808406,-0.623163402,0.022482894
-0.178445341,-0.173695749,0.527292132,-0.333333343,0.383485168,-0.056695994,0,0.092864126,0.191742584,0.064516127,-0.431420833,-0.043010753,-0.623163402,-0.051808406
-0.178018397,-0.173015648,0.383485168,-0.353861183,0.095871292,-0.283479959,0.383485168,0.22189638,0.479356468,0.198435977,0,0.352883667,-0.095871292,0.394916922
-0.178050002,-0.172811553,0.431420833,-0.291300088,0.095871292,-0.246334314,0.383485168,0.240469202,0.527292132,0.260997057,0,0.352883667,0,0.371456504
-0.178109529,-0.172866897,0.671099067,-0.164222881,0.431420833,-0.124144673,0.335549533,0.270772249,0.479356468,0.291300088,-0.383485168,0.223851413,-0.479356468,0.191593349
-0.178134757,-0.172651009,0.814906001,-0.106549367,0.623163402,-0.11534702,0.287613869,0.263929605,0.431420833,0.303030312,-0.575227737,0.252199411,-0.719034731,0.231671557
-0.178270913,-0.172706287,0.862841666,-0.00684262,0.623163402,-0.059628543,0.287613869,0.282502443,0.335549533,0.307917893,-0.719034731,0.175953075,-0.719034731,0.175953075
-0.178465859,-0.172631298,1.00664854,0.106549367,0.527292132,-0.07331378,0.095871292,0.217986315,0.239678234,0.294232637,-0.431420833,0.291300088,-0.335549533,0.323558152
-0.178542887,-0.172640906,0.958712935,0.192570865,0.431420833,-0.068426199,0,0.204301074,0.239678234,0.312805474,-0.335549533,0.323558152,-0.335549533,0.323558152
-0.178401539,-0.172684639,0.766970336,0.18377322,0.383485168,-0.038123168,0,0.204301074,0.239678234,0.331378311,-0.335549533,0.286412507,-0.287613869,0.311827958
-0.177762063,-0.172690745,0.239678234,0.089931577,0.335549533,0.010752688,0,0.111436948,0.191742584,0.361681342,-0.287613869,0.348973602,-0.287613869,0.348973602
