RIGHT_FOOT_DISPLACEMENT, LEFT_FOOT_DISPLACEMENT, R_HIP_PITCH_PRESENT_VELOCITY, R_HIP_PITCH_LOAD, L_HIP_PITCH_PRESENT_VELOCITY, L_HIP_PITCH_LOAD, R_KNEE_PRESENT_VELOCITY, R_KNEE_LOAD, L_KNEE_PRESENT_VELOCITY, L_KNEE_LOAD, R_ANKLE_PITCH_PRESENT_VELOCITY, R_ANKLE_PITCH_LOAD, L_ANKLE_PITCH_PRESENT_VELOCITY, L_ANKLE_PITCH_LOAD
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.47757, -0.476702, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.47671, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.167155, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476784, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0557185
-0.477561, -0.476773, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0557185
-0.47769, -0.476773, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0557185
-0.477561, -0.476773, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0557185
-0.47757, -0.476702, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.47757, -0.476702, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476618, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476773, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0557185
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476773, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0557185
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476722, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.167155, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.47757, -0.476702, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.47757, -0.476702, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476714, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.47757, -0.476702, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.47757, -0.476773, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0557185
-0.47757, -0.476702, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.47769, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.47757, -0.476702, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.47757, -0.476702, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.47757, -0.47671, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.167155, -0, 0.0371457, 0, 0.0371457
-0.47769, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.47769, -0.47671, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.167155, -0, 0.0371457, 0, 0.0371457
-0.477699, -0.476702, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.47769, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.47671, 0, 0.148583, -0, 0.222874, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477547, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476773, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0557185
-0.47757, -0.476702, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476714, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.47757, -0.476702, 0, 0.167155, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.476702, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.185728, -0, 0.0371457, 0, 0.0371457
-0.477561, -0.47671, 0, 0.148583, -0, 0.204301, 0, 0.148583, -0, 0.167155, -0, 0.0371457, 0, 0.0371457
