RIGHT_FOOT_DISPLACEMENT, LEFT_FOOT_DISPLACEMENT, R_HIP_PITCH_PRESENT_VELOCITY, R_HIP_PITCH_LOAD, L_HIP_PITCH_PRESENT_VELOCITY, L_HIP_PITCH_LOAD, R_KNEE_PRESENT_VELOCITY, R_KNEE_LOAD, L_KNEE_PRESENT_VELOCITY, L_KNEE_LOAD, R_ANKLE_PITCH_PRESENT_VELOCITY, R_ANKLE_PITCH_LOAD, L_ANKLE_PITCH_PRESENT_VELOCITY, L_ANKLE_PITCH_LOAD
-0.477117, -0.47653, 0, 0.0557185, -0, 0.0185728, 0, 0.0928641, -0, 0.13001, -0, -0.0928641, 0, 0
-0.47701, -0.47637, 0, 0.0371457, -0, 0.0185728, 0, 0.0928641, -0, 0.13001, -0, -0.111437, 0, -0.0185728
-0.477021, -0.476453, 0, 0.0557185, -0, 0.0185728, 0, 0.0928641, -0, 0.13001, -0, -0.111437, 0, -0.0185728
-0.47709, -0.476453, 0, 0.0371457, -0, 0.0185728, 0, 0.0928641, -0, 0.13001, -0, -0.0928641, 0, -0.0185728
-0.477101, -0.47653, 0, 0.0557185, -0, 0.0185728, 0, 0.0928641, -0, 0.13001, -0, -0.0928641, 0, 0
-0.477101, -0.476463, 0, 0.0557185, -0, 0.0371457, 0, 0.0928641, -0, 0.13001, -0, -0.0928641, 0, -0.0185728
-0.47709, -0.476446, 0, 0.0371457, -0, 0.0185728, 0, 0.0928641, -0, 0.13001, -0, -0.0928641, 0, 0
-0.477084, -0.476513, 0, 0.0371457, -0, -0, 0, 0.0742913, -0, 0.13001, -0, -0.0928641, 0, 0.0185728
-0.477021, -0.47653, 0, 0.0557185, -0, 0.0185728, 0, 0.0928641, -0, 0.13001, -0, -0.111437, 0, 0
-0.477147, -0.476539, 0, 0.0557185, 0.0958713, 0.0537634, 0, 0.0928641, -0, 0.13001, -0, -0.111437, 0, 0
-0.477007, -0.476463, 0, 0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.13001, -0, -0.0928641, 0, -0.0185728
-0.477133, -0.47653, 0, 0.0371457, -0, 0.0185728, 0, 0.0928641, -0, 0.13001, -0, -0.0928641, 0, 0
-0.477101, -0.476456, 0, 0.0557185, -0, 0.0185728, 0, 0.0928641, -0, 0.111437, -0, -0.0928641, 0, -0.0185728
-0.477021, -0.476463, 0, 0.0557185, -0, 0.0371457, 0, 0.0928641, -0, 0.13001, -0, -0.111437, 0, -0.0185728
-0.477003, -0.47653, 0, 0.0371457, -0, 0.0185728, 0, 0.0742913, -0, 0.13001, -0, -0.111437, 0, 0
-0.47709, -0.47652, 0, 0.0371457, -0.0958713, -0.0166178, 0, 0.0928641, -0, 0.13001, -0, -0.0928641, 0, 0
-0.477007, -0.47637, 0, 0.0371457, -0, 0.0185728, 0, 0.0928641, -0, 0.13001, -0, -0.0928641, 0, -0.0185728
-0.477021, -0.476453, 0, 0.0557185, -0, 0.0185728, 0, 0.0928641, -0, 0.13001, -0, -0.111437, 0, -0.0185728
