RIGHT_FOOT_DISPLACEMENT, LEFT_FOOT_DISPLACEMENT, R_HIP_PITCH_PRESENT_VELOCITY, R_HIP_PITCH_LOAD, L_HIP_PITCH_PRESENT_VELOCITY, L_HIP_PITCH_LOAD, R_KNEE_PRESENT_VELOCITY, R_KNEE_LOAD, L_KNEE_PRESENT_VELOCITY, L_KNEE_LOAD, R_ANKLE_PITCH_PRESENT_VELOCITY, R_ANKLE_PITCH_LOAD, L_ANKLE_PITCH_PRESENT_VELOCITY, L_ANKLE_PITCH_LOAD
-0.477332, -0.476459, 0, 0.0185728, -0, 0.0371457, 0, 0.0928641, -0, 0.111437, -0, -0.0557185, 0.0958713, 0.0166178
-0.47741, -0.476459, 0, 0.0185728, -0, 0.0371457, 0, 0.0928641, -0, 0.111437, -0, -0.0371457, 0, 0
-0.47741, -0.476535, 0, 0.0185728, -0, 0.0371457, 0, 0.0928641, -0, 0.111437, -0, -0.0371457, 0.0958713, 0.0351906
-0.477403, -0.476619, 0, 0.0185728, -0, 0.0371457, 0, 0.0928641, -0, 0.111437, -0, -0.0185728, 0, 0.0185728
-0.477489, -0.476685, 0, 0.0371457, -0, 0.0185728, 0, 0.0928641, -0, 0.111437, -0, -0, 0, 0.0371457
-0.477637, -0.476531, 0, 0.0185728, -0, 0.0371457, 0, 0.0928641, -0.0958713, 0.0762463, 0.0958713, 0.0351906, 0.0958713, 0.0537634
-0.477795, -0.476626, -0.0958713, -0.0166178, -0, -0, 0, 0.111437, -0.0958713, 0.0762463, -0, 0.0185728, 0, 0.0557185
-0.477878, -0.476428, 0, 0, -0, -0, 0, 0.111437, -0, 0.0928641, -0, 0.0185728, -0.0958713, 0.0205279
-0.477628, -0.476436, 0, 0, -0, -0, 0, 0.111437, -0, 0.0928641, -0, 0.0185728, -0.0958713, 0.00195503
-0.477534, -0.476535, 0, 0.0371457, 0.0958713, 0.0537634, 0, 0.111437, -0, 0.111437, -0, -0, 0, 0.0185728
-0.477606, -0.476499, 0, 0.0185728, -0, 0.0371457, 0, 0.111437, -0, 0.0928641, -0, -0, 0, 0.0185728
-0.477406, -0.476415, 0, 0.0185728, -0, 0.0371457, 0, 0.111437, -0, 0.0928641, -0, -0.0185728, 0, 0.0185728
-0.47769, -0.476462, 0, 0.0185728, -0, 0.0371457, 0, 0.111437, -0, 0.0928641, -0, -0, 0, 0
-0.477392, -0.476452, 0, 0, -0, 0.0185728, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, 0
-0.477304, -0.476319, 0, -0.0185728, -0, -0, 0, 0.0928641, -0, 0.0928641, -0, -0.0371457, 0, 0
-0.477333, -0.476158, -0.0958713, -0.0723363, -0, -0, 0, 0.111437, -0, 0.0742913, -0, -0.0557185, 0, -0.0185728
-0.477338, -0.476068, 0, -0.0557185, -0, -0.0185728, 0, 0.111437, -0, 0.0742913, -0.0958713, -0.0909091, 0, -0.0371457
-0.477219, -0.476047, 0, -0.0371457, -0.0958713, -0.0723363, 0, 0.0928641, -0, 0.0557185, -0, -0.0742913, 0, -0.0371457
-0.477219, -0.476047, 0, -0.0371457, -0.0958713, -0.0723363, 0, 0.0928641, -0, 0.0557185, -0, -0.0742913, 0, -0.0371457
-0.477344, -0.476058, 0, -0.0371457, -0, -0.0371457, 0, 0.0928641, -0, 0.0371457, -0, -0.0742913, 0, -0.0371457
-0.477135, -0.476071, 0, -0.0371457, 0.0958713, -0.00195503, 0, 0.0928641, -0, 0.0557185, -0, -0.0742913, 0, -0.0557185
-0.477067, -0.476171, 0, -0.0185728, 0.143807, 0.0625611, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477067, -0.47606, 0, -0.0185728, 0.0958713, 0.0537634, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477067, -0.47602, 0, -0.0185728, -0, 0.0371457, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0742913
-0.477067, -0.476009, 0, -0.0185728, -0, 0.0185728, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0742913
-0.476979, -0.475905, 0, -0.0185728, -0.0958713, -0.0351906, 0, 0.0742913, -0, 0.0557185, -0, -0.111437, 0, -0.0742913
-0.477049, -0.476049, 0, -0.0371457, -0.143807, -0.0811339, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477049, -0.475977, 0, -0.0371457, -0, -0.0371457, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477055, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477049, -0.476081, 0, -0.0371457, -0, -0, 0, 0.0742913, -0, 0.0742913, -0, -0.0928641, 0, -0.0557185
-0.477055, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477055, -0.476081, 0, -0.0371457, -0, -0, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477067, -0.475998, 0, -0.0185728, -0, -0, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477192, -0.475998, 0, -0.0185728, -0, -0, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477272, -0.476008, 0, -0.0185728, -0, 0.0185728, 0, 0.0928641, -0, 0.0557185, -0, -0.0742913, 0, -0.0557185
-0.477356, -0.476158, 0, -0.0185728, -0, 0.0185728, 0, 0.0928641, -0, 0.0742913, -0, -0.0742913, 0, -0.0371457
-0.477231, -0.476183, 0, -0.0185728, -0, 0.0371457, 0, 0.0928641, -0, 0.0557185, -0, -0.0742913, 0, -0.0371457
-0.477272, -0.476158, 0, -0.0185728, -0, 0.0185728, 0, 0.0928641, -0, 0.0557185, -0, -0.0742913, 0, -0.0371457
-0.477289, -0.476249, 0, 0, -0, 0.0371457, 0, 0.111437, -0, 0.0557185, -0, -0.0742913, 0, -0.0185728
-0.477367, -0.476217, 0, 0, -0, 0.0371457, 0, 0.111437, -0, 0.0557185, -0, -0.0557185, 0, 0
-0.477378, -0.476271, 0, 0.0185728, -0, 0.0185728, 0, 0.111437, -0, 0.0557185, -0, -0.0557185, 0, 0.0185728
-0.477378, -0.476418, 0, 0.0185728, -0, 0.0371457, 0, 0.111437, -0, 0.0742913, -0, -0.0557185, 0, 0.0185728
-0.477462, -0.476367, 0, 0.0185728, -0, 0.0185728, 0, 0.111437, -0, 0.0742913, -0, -0.0557185, 0, 0.0185728
-0.477389, -0.476283, 0, 0.0371457, -0, 0.0185728, 0, 0.111437, -0, 0.0742913, -0, -0.0557185, 0, 0.0185728
-0.477389, -0.476283, 0, 0.0371457, -0, 0.0185728, 0, 0.111437, -0, 0.0742913, -0, -0.0557185, 0, 0.0185728
-0.477378, -0.476418, 0, 0.0185728, -0, 0.0371457, 0, 0.111437, -0, 0.0742913, -0, -0.0557185, 0, 0.0185728
-0.477378, -0.476283, 0, 0.0185728, -0, 0.0185728, 0, 0.111437, -0, 0.0742913, -0, -0.0557185, 0, 0.0185728
-0.477394, -0.476279, 0, 0.0185728, -0, 0.0371457, 0, 0.111437, -0, 0.0742913, -0, -0.0557185, 0, 0.0185728
-0.477378, -0.47633, 0, 0.0185728, -0, 0.0185728, 0, 0.111437, -0, 0.0742913, -0, -0.0557185, 0, 0
-0.477378, -0.47633, 0, 0.0185728, -0, 0.0185728, 0, 0.111437, -0, 0.0742913, -0, -0.0557185, 0, 0
-0.4773, -0.476157, 0, 0.0185728, -0, 0.0185728, 0, 0.111437, -0, 0.0928641, -0, -0.0742913, -0.0958713, -0.0537634
-0.477258, -0.476157, 0, 0.0185728, -0, 0.0185728, 0, 0.111437, -0, 0.0928641, -0, -0.0742913, 0, -0.0371457
-0.477383, -0.476091, 0, 0.0185728, -0, 0.0185728, 0, 0.111437, -0, 0.0928641, -0, -0.0742913, -0.0958713, -0.0723363
-0.477258, -0.476172, 0, 0.0185728, -0, 0.0185728, 0, 0.111437, -0, 0.0742913, -0, -0.0742913, 0, -0.0371457
-0.477284, -0.476158, 0, 0, -0, 0.0185728, 0, 0.0928641, -0, 0.0742913, -0, -0.0742913, 0, -0.0371457
-0.477272, -0.476162, 0, -0.0185728, -0, -0, 0, 0.0928641, -0, 0.0742913, -0, -0.0742913, 0, -0.0371457
-0.477219, -0.476162, -0.0958713, -0.0537634, -0, -0, 0, 0.0928641, -0, 0.0742913, -0, -0.0742913, 0, -0.0371457
-0.477135, -0.476162, -0.0958713, -0.0537634, -0, -0, 0, 0.0928641, -0, 0.0742913, -0, -0.0742913, 0, -0.0371457
-0.47718, -0.476061, 0, -0.0371457, -0.0958713, -0.0537634, 0, 0.0928641, -0, 0.0742913, -0, -0.0928641, 0, -0.0557185
-0.477055, -0.476035, 0, -0.0371457, -0.143807, -0.0811339, 0, 0.0928641, -0, 0.0742913, -0, -0.0928641, 0, -0.0557185
-0.477055, -0.476034, 0, -0.0371457, -0, -0.0557185, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477049, -0.476061, 0, -0.0371457, -0, -0.0371457, 0, 0.0742913, -0, 0.0742913, -0, -0.0928641, 0, -0.0557185
-0.477049, -0.476071, 0, -0.0371457, 0.0958713, -0.00195503, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477049, -0.475988, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0742913
-0.477049, -0.476056, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477132, -0.476056, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477049, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477174, -0.475946, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.476967, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.111437, 0, -0.0557185
-0.477065, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477055, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477174, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477055, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477148, -0.476056, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477055, -0.476056, 0, -0.0371457, -0, -0.0185728, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477049, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477049, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477055, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477055, -0.476056, 0, -0.0371457, -0, -0.0185728, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477049, -0.476056, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477055, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0928641, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477065, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477174, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477049, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477174, -0.475931, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
-0.477049, -0.476071, 0, -0.0371457, -0, -0.0185728, 0, 0.0742913, -0, 0.0557185, -0, -0.0928641, 0, -0.0557185
