RIGHT_FOOT_DISPLACEMENT, LEFT_FOOT_DISPLACEMENT, R_HIP_PITCH_PRESENT_VELOCITY, R_HIP_PITCH_LOAD, L_HIP_PITCH_PRESENT_VELOCITY, L_HIP_PITCH_LOAD, R_KNEE_PRESENT_VELOCITY, R_KNEE_LOAD, L_KNEE_PRESENT_VELOCITY, L_KNEE_LOAD, R_ANKLE_PITCH_PRESENT_VELOCITY, R_ANKLE_PITCH_LOAD, L_ANKLE_PITCH_PRESENT_VELOCITY, L_ANKLE_PITCH_LOAD
-0.477295, -0.476362, 0, -0.0185728, -0, 0.0557185, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0557185
-0.477378, -0.476278, 0, -0.0185728, -0, 0.0557185, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0557185
-0.477295, -0.476348, 0, -0.0185728, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477367, -0.476432, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477295, -0.476278, 0, -0.0185728, -0, 0.0557185, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0557185
-0.477295, -0.476352, 0, -0.0185728, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0557185
-0.477283, -0.476432, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477206, -0.476352, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0371457, 0, -0.0557185
-0.477283, -0.476362, 0, -0.0371457, -0, 0.0557185, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0557185
-0.477295, -0.476432, 0, -0.0185728, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477295, -0.476432, 0, -0.0185728, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477218, -0.476432, 0, -0.0185728, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0371457, 0, -0.0371457
-0.4772, -0.476348, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477283, -0.476442, 0, -0.0371457, -0, 0.0557185, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477295, -0.476432, 0, -0.0185728, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477206, -0.476352, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0371457, 0, -0.0557185
-0.477283, -0.476432, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477283, -0.476348, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477283, -0.476432, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477283, -0.476432, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477283, -0.476432, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477206, -0.476348, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0371457, 0, -0.0371457
-0.477155, -0.476349, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0742913, -0, -0.0185728, 0, -0.0371457
-0.477206, -0.476362, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0371457, 0, -0.0371457
-0.477283, -0.476433, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0742913, -0, -0.0185728, 0, -0.0371457
-0.477295, -0.476432, 0, -0.0185728, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477283, -0.476446, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0928641, -0, -0.0185728, 0, -0.0371457
-0.477283, -0.476433, 0, -0.0371457, -0, 0.0371457, 0, 0.0928641, -0, 0.0742913, -0, -0.0185728, 0, -0.0371457
