RIGHT_FOOT_DISPLACEMENT, LEFT_FOOT_DISPLACEMENT, R_HIP_PITCH_PRESENT_VELOCITY, R_HIP_PITCH_LOAD, L_HIP_PITCH_PRESENT_VELOCITY, L_HIP_PITCH_LOAD, R_KNEE_PRESENT_VELOCITY, R_KNEE_LOAD, L_KNEE_PRESENT_VELOCITY, L_KNEE_LOAD, R_ANKLE_PITCH_PRESENT_VELOCITY, R_ANKLE_PITCH_LOAD, L_ANKLE_PITCH_PRESENT_VELOCITY, L_ANKLE_PITCH_LOAD
-0.477249, -0.476366, 0, -0.0371457, -0, 0.0557185, 0, 0.0557185, -0, 0.0928641, -0, -0.0185728, 0, -0.0742913
-0.477314, -0.476239, 0, -0.0557185, -0, 0.0557185, 0, 0.0557185, -0, 0.0928641, -0, -0, 0, -0.0742913
-0.477194, -0.476238, 0, -0.0371457, -0, 0.0557185, 0, 0.0557185, -0, 0.111437, -0, -0, 0, -0.0742913
-0.477194, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0557185, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477329, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477325, -0.476238, 0, -0.0371457, -0, 0.0557185, 0, 0.0557185, -0, 0.111437, -0, -0, 0, -0.0742913
-0.477194, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0557185, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477198, -0.476318, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.111437, -0, -0, 0, -0.0557185
-0.477329, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477329, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477329, -0.47619, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.111437, -0, -0, 0, -0.0557185
-0.477325, -0.476192, 0, -0.0371457, -0, 0.0557185, 0, 0.0557185, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477329, -0.476275, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477198, -0.476275, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477329, -0.476192, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477198, -0.476192, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477329, -0.476192, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477329, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477329, -0.476192, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477329, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477198, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477329, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477329, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477198, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477198, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477198, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477198, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477198, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477198, -0.476319, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0, 0, -0.0557185
-0.477122, -0.476192, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0.0185728, 0, -0.0557185
-0.477122, -0.476275, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0.0185728, 0, -0.0557185
-0.477122, -0.476192, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0.0185728, 0, -0.0557185
-0.477122, -0.476192, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0.0185728, 0, -0.0557185
-0.477176, -0.476192, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0.0371457, 0, -0.0557185
-0.477045, -0.476201, 0, -0.0371457, -0, 0.0742913, 0, 0.0742913, -0, 0.0928641, -0, -0.0371457, 0, -0.0557185
-0.477098, -0.476192, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0.0557185, 0, -0.0557185
-0.477049, -0.476192, 0, -0.0371457, -0, 0.0557185, 0, 0.0928641, -0, 0.0928641, -0, -0.0371457, 0, -0.0557185
-0.477176, -0.476192, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0.0371457, 0, -0.0557185
-0.477176, -0.476275, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0.0371457, 0, -0.0557185
-0.477103, -0.476201, 0, -0.0371457, -0, 0.0742913, 0, 0.0928641, -0, 0.0928641, -0, -0.0557185, 0, -0.0557185
-0.476968, -0.476195, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0.0557185, 0, -0.0742913
-0.477098, -0.476112, 0, -0.0371457, -0, 0.0557185, 0, 0.0742913, -0, 0.0928641, -0, -0.0557185, 0, -0.0742913
-0.476961, -0.476275, 0, 0.964809, -0, 0.964809, 0, -0.964809, -0, -0.964809, -0, -0.362659, 0, -0.454545
-0.476221, -0.476096, -2.30091, 0.554252, -2.30091, 0.554252, 1.91743, -0.622678, 2.0133, -0.606061, 0.239678, -0.172043, 0.33555, -0.0977517
-0.470108, -0.468948, -4.60182, -0.85826, -5.03324, -0.694037, 3.93072, 0.646139, 4.64976, 0.615836, -0, -0.158358, 0.0958713, 0.00782014
-0.468209, -0.467171, -1.15046, -0.576735, -1.86949, -0.500489, 0.479356, 0.215054, 1.24633, 0.0733138, -0, -0.121212, -0.287614, 0.0606061
-0.467537, -0.467132, 0.383485, -0.395894, 0.287614, -0.1261, 0, 0.297165, 0.143807, -0.132942, -0.239678, -0.218964, -0.814906, -0.107527
-0.46793, -0.467277, 0.910777, -0.403715, 0.76697, -0.0400782, -0.287614, 0.450635, 0.383485, -0.0713587, -0, -0.204301, -0.431421, 0.0351906
-0.468518, -0.467338, 1.58188, -0.172043, 1.05458, 0.0762463, -1.3422, 0.178886, 0.527292, 0.0195503, 0.0958713, -0.187683, -0.431421, 0.026393
-0.469013, -0.467775, 1.91743, 0.026393, 0.958713, 0.13392, -1.48601, 0.116325, 0.527292, 0.112414, 0.287614, -0.116325, -0.479356, 0.00782014
-0.46899, -0.466833, 1.15046, 0.000977517, 0.33555, 0.0312805, -0.958713, 0.191593, 0.239678, 0.143695, 0.33555, -0.0703812, -0.239678, 0.0606061
-0.468898, -0.467232, 0.76697, -0.216031, 0.239678, -0.0606061, -0.671099, 0.466276, -0.239678, 0.0596285, 0.383485, -0.0713587, -0.383485, 0.0430108
-0.468657, -0.467189, 1.05458, -0.0254154, 0.479356, 0.0381232, -1.29426, 0.206256, -0.33555, -0.0136852, 0.814906, 0.134897, -0.287614, 0.0234604
-0.467993, -0.466414, 0.862842, -0.217986, 0.383485, -0.0342131, -1.29426, 0.419355, -0.0958713, 0.0762463, 0.575228, 0.028348, -0.239678, 0.0606061
-0.46779, -0.466377, 1.10252, -0.119257, 0.383485, -0.0156403, -1.67775, 0.276637, -0, 0.0928641, 0.527292, 0.0469208, -0.239678, 0.0508309
-0.467984, -0.466282, 1.43807, -0.0410557, 0.527292, 0.028348, -1.82155, 0.30694, -0, 0.138807, 0.575228, 0.0185728, -0.143807, 0.0772239
-0.467885, -0.46604, 1.58188, -0.0606061, 0.383485, 0.0215054, -1.77362, 0.556207, 0.143807, 0.219941, 0.575228, -0.120235, -0.0958713, 0.0948192
-0.468189, -0.466179, 1.53394, 0.0694037, 0.431421, 0.0293255, -2.25298, 0.202346, 0.143807, 0.248289, 0.862842, 0.0879765, -0.0958713, 0.104594
-0.467843, -0.466325, 1.19839, 0.15738, 0.383485, 0.0312805, -2.25298, -0.14174, -0, 0.26002, 0.814906, 0.227761, -0.0958713, 0.104594
-0.467678, -0.466297, 0.431421, 0.0762463, 0.191743, 0.0244379, -0.910777, -0.0322581, -0, 0.28739, -0, 0.0928641, -0.0958713, 0.0860215
-0.467672, -0.466359, 0.143807, -0.00195503, -0, -0.0840665, -0.479356, 0.00782014, -0, 0.315738, -0.0958713, 0.0948192, 0, 0.13001
-0.467639, -0.466198, 0, -0.0273705, -0.0958713, -0.128055, -0.239678, 0.0234604, -0, 0.334311, -0.143807, 0.0674487, -0.143807, 0.0860215
-0.467593, -0.466015, 0, -0.0645161, 0.191743, -0.0772239, 0, 0.0557185, -0, 0.352884, -0.0958713, 0.0948192, -0.143807, 0.0860215
-0.467476, -0.465927, 0.0958713, -0.0391007, 0.287614, -0.0518084, -0.0958713, 0.0205279, -0, 0.371457, -0.0958713, 0.103617, -0.143807, 0.0772239
-0.467871, -0.465752, 0.33555, 0.0508309, 0.239678, -0.0322581, 0, 0.0469208, -0.0958713, 0.336266, -0.239678, 0.0508309, -0.191743, 0.0312805
-0.46792, -0.465622, 0.287614, 0.0420332, 0.33555, 0.00391007, 0, 0.0469208, -0.143807, 0.317693, -0.239678, 0.0322581, -0.191743, 0.0215054
-0.468147, -0.465737, 0.143807, 0.0166178, 0.383485, 0.0400782, 0.0958713, 0.0723363, -0.239678, 0.282502, -0.143807, 0.0488759, -0.191743, 0.00293255
-0.46857, -0.465848, 0, -0.00879765, 0.383485, 0.0772239, 0, 0.0557185, -0.239678, 0.255132, -0.0958713, 0.0478983, -0.143807, 0.00293255
-0.469085, -0.465731, 0, 0.251222, 0.191743, 0.0430108, 0, -0.464321, -0.287614, 0.217986, -0.143807, 0.280547, -0.191743, -0.0244379
-0.468878, -0.465675, -0.239678, 0.246334, 0.0958713, 0.0351906, 0.479356, -0.480938, -0.143807, 0.234604, -0.431421, 0.248289, -0.191743, -0.0430108
-0.469091, -0.465722, -1.29426, -0.0635386, -0.239678, -0.0703812, 2.34885, 0.0391007, -0.0958713, 0.224829, -1.29426, -0.026393, -0.143807, -0.0713587
-0.468405, -0.465701, -0.76697, -0.00684262, -0, -0.0371457, 1.29426, -0.12219, -0, 0.222874, -0.719035, 0.0576735, 0, -0.0645161
-0.467354, -0.465659, -0.623163, 0.085044, -0, -0.028348, 1.39013, -0.179863, -0.0958713, 0.196481, -0.958713, -0.00391007, -0.0958713, -0.11828
-0.46652, -0.465701, -0.76697, 0.058651, -0, -0.00977517, 1.58188, -0.0791789, -0, 0.213099, -0.76697, -0.0254154, 0, -0.111437
