RIGHT_FOOT_DISPLACEMENT, LEFT_FOOT_DISPLACEMENT, R_HIP_PITCH_PRESENT_VELOCITY, R_HIP_PITCH_LOAD, L_HIP_PITCH_PRESENT_VELOCITY, L_HIP_PITCH_LOAD, R_KNEE_PRESENT_VELOCITY, R_KNEE_LOAD, L_KNEE_PRESENT_VELOCITY, L_KNEE_LOAD, R_ANKLE_PITCH_PRESENT_VELOCITY, R_ANKLE_PITCH_LOAD, L_ANKLE_PITCH_PRESENT_VELOCITY, L_ANKLE_PITCH_LOAD
-0.466672, -0.466933, 0, -0.0645161, -0, -0.0557185, 0, -0.0742913, -0, -0.0928641, -0, -0.0928641, 0, -0.0459433
-0.466672, -0.466933, 0, -0.0645161, -0, -0.0557185, 0, -0.0742913, -0, -0.0928641, -0, -0.0928641, 0, -0.0459433
-0.466672, -0.466947, 0, -0.13001, -0, -0.0928641, 0, -0.148583, -0, -0.185728, -0, -0.185728, 0, -0.0928641
-0.466778, -0.466947, 0, -0.13001, -0, -0.0928641, 0, -0.13001, -0, -0.185728, -0, -0.167155, 0, -0.0928641
-0.466903, -0.466977, 0, -0.13001, -0, -0.111437, 0, -0.13001, -0, -0.148583, 0.143807, -0.123167, 0, -0.0928641
-0.467121, -0.466864, 0.0958713, -0.0948192, -0, -0.0928641, 0, -0.111437, -0, -0.148583, 0.239678, -0.0694037, 0, -0.0928641
-0.467152, -0.466785, 0, -0.111437, -0, -0.111437, 0, -0.0928641, -0, -0.111437, -0, -0.13001, 0, -0.0928641
-0.467008, -0.467124, 0, -0.111437, -0, -0.0928641, 0, -0.0742913, -0, -0.111437, -0, -0.13001, 0, -0.0742913
-0.467265, -0.467099, 0, -0.0928641, -0, -0.0928641, 0, -0.0557185, -0, -0.0742913, -0, -0.111437, 0, -0.0742913
-0.467182, -0.467256, 0, -0.111437, -0, -0.111437, 0, -0.0371457, -0, -0.0557185, -0, -0.13001, 0, -0.0742913
-0.467488, -0.467284, 0, -0.13001, -0, -0.111437, 0, -0.0185728, -0, -0.0371457, 0.0958713, -0.0948192, 0, -0.0928641
-0.467622, -0.467363, 0, -0.111437, -0, -0.111437, 0, -0.0185728, -0, -0.0185728, 0.143807, -0.0674487, 0, -0.0742913
-0.46771, -0.467375, 0, -0.111437, -0, -0.0928641, 0, -0.0185728, -0, -0.0185728, 0.0958713, -0.0576735, 0, -0.0742913
-0.46768, -0.467528, 0, -0.111437, -0, -0.111437, 0, -0.0185728, -0, 0.0185728, -0, -0.0928641, 0, -0.0742913
-0.467919, -0.467698, 0, -0.13001, -0, -0.13001, 0, 0.0185728, -0, 0.0185728, -0, -0.0928641, 0, -0.0928641
-0.467997, -0.467817, 0, -0.13001, -0, -0.13001, 0, 0.0371457, -0.0958713, -0.0166178, -0, -0.0742913, 0.0958713, -0.0576735
-0.468077, -0.467905, 0, -0.148583, -0, -0.148583, 0, 0.0371457, -0.143807, -0.0254154, -0, -0.111437, 0.0958713, -0.0576735
-0.468085, -0.467945, 0, -0.13001, 0.0958713, -0.0948192, 0, 0.0557185, -0.0958713, -0.0166178, -0, -0.0928641, 0.0958713, -0.0576735
-0.468107, -0.467926, 0.0958713, -0.0948192, 0.143807, -0.0674487, 0, 0.0371457, -0.143807, -0.0439883, -0, -0.0928641, 0, -0.0742913
-0.468326, -0.468266, 0.0958713, -0.0948192, 0.143807, -0.0674487, -0.143807, -0.00684262, -0.0958713, -0.0351906, -0, -0.111437, 0, -0.0742913
-0.468504, -0.468266, 0, -0.0928641, -0, -0.0928641, -0.143807, -0.0254154, -0, -0, 0.143807, -0.030303, 0, -0.0742913
-0.468583, -0.468281, 0, -0.111437, -0, -0.111437, 0, 0, -0, -0, -0, -0.0928641, 0, -0.0928641
-0.468501, -0.468358, 0, -0.111437, -0, -0.111437, 0, 0.0185728, -0, 0.0185728, -0, -0.0928641, 0, -0.0742913
-0.468563, -0.468348, 0, -0.111437, -0, -0.111437, 0, 0.0371457, -0, 0.0371457, -0, -0.0742913, 0, -0.0742913
-0.468579, -0.468533, 0, -0.13001, -0, -0.13001, 0, 0.0371457, -0, 0.0185728, -0, -0.0928641, 0, -0.0742913
-0.468651, -0.468627, 0.0958713, -0.0762463, 0.0958713, -0.0762463, -0.0958713, 0.00195503, -0.143807, -0.0439883, -0, -0.0928641, 0.0958713, -0.0391007
-0.468893, -0.468711, 0, -0.111437, 0.143807, -0.0674487, -0.143807, -0.00684262, -0.143807, -0.0254154, -0, -0.0928641, 0, -0.0742913
-0.468963, -0.468824, 0, -0.0928641, 0.0958713, -0.0576735, -0.143807, -0.0254154, -0, -0.0185728, 0.0958713, -0.0576735, 0, -0.0557185
-0.46896, -0.468909, 0, -0.0928641, -0, -0.0928641, 0, 0.0185728, -0, -0.0185728, -0, -0.0928641, 0.0958713, -0.0391007
-0.46911, -0.469116, 0, -0.0928641, -0, -0.0742913, 0, 0.0557185, -0, -0.0185728, -0, -0.0742913, 0, -0.0557185
-0.469172, -0.469045, 0, -0.111437, -0, -0.0742913, 0, 0.0371457, -0, -0, -0, -0.0928641, 0, -0.0742913
-0.469638, -0.469273, 0, -0.111437, -0, -0.0928641, -0.143807, -0.0254154, -0, 0.0371457, 0.143807, -0.030303, 0, -0.0742913
-0.469555, -0.469175, 0, -0.111437, -0, -0.0928641, -0.0958713, 0.00195503, -0, 0.0371457, 0.0958713, -0.0391007, 0, -0.0742913
-0.469574, -0.469435, 0, -0.0928641, -0, -0.0742913, 0, 0.0185728, -0.143807, -0.0254154, -0, -0.0557185, 0, -0.0557185
-0.469756, -0.469426, 0.0958713, -0.0762463, -0, -0.0928641, 0, 0.0185728, -0.143807, -0.0254154, -0, -0.0742913, 0, -0.0557185
-0.469645, -0.469616, 0, -0.111437, -0, -0.0742913, 0, 0.0371457, -0, -0, -0, -0.0742913, 0, -0.0557185
-0.46974, -0.469616, 0, -0.0928641, -0, -0.0742913, 0, 0.0557185, -0, 0.0185728, -0, -0.0742913, 0, -0.0557185
-0.469883, -0.469711, 0.0958713, -0.0762463, -0, -0.0742913, -0.143807, 0.0117302, -0, -0, 0.0958713, -0.0391007, 0, -0.0557185
-0.470076, -0.469643, 0.0958713, -0.0576735, -0, -0.0742913, -0.191743, -0.0156403, -0, 0.0185728, 0.0958713, -0.0391007, 0, -0.0557185
-0.470092, -0.469893, 0, -0.0928641, -0, -0.0742913, 0, 0.0371457, -0, 0.0185728, -0, -0.0742913, 0, -0.0557185
-0.470005, -0.469904, 0, -0.0928641, -0, -0.0928641, 0, 0.0557185, -0, 0.0185728, -0, -0.0928641, 0, -0.0742913
-0.470194, -0.47012, 0, -0.0928641, -0, -0.0742913, 0, 0.0557185, -0.143807, -0.0254154, -0, -0.0928641, 0, -0.0557185
-0.470211, -0.470193, 0, -0.0742913, -0, -0.0742913, 0, 0.0557185, -0.0958713, 0.00195503, -0, -0.0928641, 0, -0.0371457
-0.470443, -0.47024, 0, -0.0928641, 0.0958713, -0.0391007, -0.191743, -0.0156403, -0, -0, 0.0958713, -0.0576735, 0, -0.0557185
-0.470697, -0.470337, 0, -0.0742913, -0, -0.0557185, -0.191743, -0.0342131, -0.0958713, -0.0166178, 0.191743, -0.00293255, 0, -0.0371457
-0.470676, -0.470476, 0, -0.0928641, -0, -0.0742913, 0, 0.0557185, -0, 0.0185728, -0, -0.0557185, 0, -0.0371457
-0.470768, -0.470512, 0, -0.0742913, 0.0958713, -0.0391007, 0, 0.0557185, -0, 0.0185728, -0, -0.0742913, 0, -0.0371457
-0.470763, -0.470686, 0, -0.0928641, -0, -0.0742913, 0, 0.0928641, -0, 0.0185728, -0, -0.0928641, 0, -0.0557185
-0.47091, -0.470758, 0, -0.0742913, -0, -0.0742913, -0.143807, 0.0117302, -0, 0.0371457, -0, -0.0557185, 0, -0.0371457
-0.471243, -0.470723, 0, -0.0742913, -0, -0.0928641, -0.287614, -0.0694037, -0.0958713, -0.0166178, 0.191743, 0.0156403, 0, -0.0557185
-0.471393, -0.470978, 0, -0.0742913, -0, -0.0742913, -0.143807, -0.0254154, -0.0958713, -0.0166178, 0.0958713, -0.00195503, 0, -0.0371457
-0.471393, -0.471074, 0, -0.0928641, -0, -0.0928641, 0, 0.0185728, -0, -0, -0, -0.0371457, 0, -0.0371457
-0.471565, -0.471119, 0, -0.0742913, 0.0958713, -0.0391007, 0, 0.0185728, -0.0958713, -0.0166178, -0, -0.0185728, 0, -0.0371457
-0.471671, -0.471184, 0, -0.0742913, -0, -0.0742913, -0.0958713, 0.00195503, -0, 0.0185728, 0.0958713, -0.00195503, 0, -0.0557185
-0.47169, -0.47129, 0, -0.0742913, -0, -0.0557185, -0.0958713, 0.00195503, -0, 0.0185728, -0, -0.0185728, 0, -0.0371457
-0.471755, -0.471384, 0, -0.0928641, -0, -0.0742913, 0, 0.0371457, -0, -0, -0, -0.0371457, 0, -0.0371457
-0.471767, -0.471404, 0, -0.0742913, -0, -0.0557185, 0, 0.0371457, -0.0958713, -0.0166178, -0, -0.0371457, 0, -0.0371457
-0.471879, -0.471482, 0, -0.0928641, -0, -0.0742913, -0.0958713, 0.00195503, -0, 0.0185728, -0, -0.0371457, 0, -0.0557185
-0.472149, -0.471553, 0, -0.0742913, -0, -0.0742913, -0.0958713, 0.00195503, -0, 0.0371457, -0, -0.0185728, 0, -0.0371457
-0.472272, -0.471755, 0, -0.0928641, -0, -0.0742913, 0, 0.0371457, -0.0958713, 0.00195503, -0, -0.0185728, 0, -0.0557185
-0.472063, -0.471776, 0, -0.0742913, 0.0958713, -0.0391007, 0, 0.0371457, -0.143807, -0.0254154, -0, -0.0371457, 0, -0.0371457
-0.472078, -0.471882, 0, -0.0742913, 0.0958713, -0.0391007, 0, 0.0557185, -0.143807, -0.0254154, -0, -0.0371457, 0, -0.0371457
-0.472264, -0.471882, 0.0958713, -0.0576735, -0, -0.0742913, -0.0958713, 0.00195503, -0.0958713, -0.0166178, -0, -0.0371457, 0, -0.0557185
