RIGHT_FOOT_DISPLACEMENT, LEFT_FOOT_DISPLACEMENT, R_HIP_PITCH_PRESENT_VELOCITY, R_HIP_PITCH_LOAD, L_HIP_PITCH_PRESENT_VELOCITY, L_HIP_PITCH_LOAD, R_KNEE_PRESENT_VELOCITY, R_KNEE_LOAD, L_KNEE_PRESENT_VELOCITY, L_KNEE_LOAD, R_ANKLE_PITCH_PRESENT_VELOCITY, R_ANKLE_PITCH_LOAD, L_ANKLE_PITCH_PRESENT_VELOCITY, L_ANKLE_PITCH_LOAD
-0.467325, -0.467423, 0, 0.0840665, -0, 0.083089, 0, 0.0742913, -0, 0.0742913, -0, 0.0557185, 0, 0.0469208
-0.467387, -0.467411, 0, 0.167155, -0, 0.167155, 0, 0.148583, -0, 0.148583, -0, 0.13001, 0, 0.0928641
-0.467276, -0.467402, 0, 0.148583, -0, 0.148583, 0, 0.167155, -0, 0.167155, -0, 0.0928641, 0, 0.0928641
-0.467249, -0.467155, 0, 0.13001, -0.0958713, 0.0948192, 0, 0.185728, -0, 0.204301, -0.0958713, 0.0391007, 0, 0.0557185
-0.467271, -0.467429, 0, 0.13001, -0, 0.111437, -0.0958713, 0.150538, -0, 0.185728, -0.0958713, 0.0205279, 0, 0.0742913
-0.467458, -0.467282, 0, 0.111437, -0, 0.111437, -0.143807, 0.123167, -0, 0.204301, -0, 0.0371457, 0, 0.0557185
-0.467343, -0.467113, 0, 0.111437, -0, 0.0742913, -0.143807, 0.123167, -0, 0.204301, -0, 0.0185728, 0, 0.0557185
-0.467462, -0.467366, 0, 0.111437, -0, 0.0928641, -0.0958713, 0.131965, -0, 0.222874, -0, 0.0185728, 0, 0.0557185
-0.467378, -0.467282, 0, 0.111437, -0, 0.0928641, 0, 0.167155, -0, 0.241447, -0, 0.0185728, 0, 0.0371457
-0.467378, -0.467404, 0, 0.0928641, -0, 0.0742913, 0, 0.167155, -0, 0.222874, -0, -0, 0, 0.0371457
-0.467622, -0.467357, 0, 0.0928641, -0, 0.0742913, 0, 0.185728, -0.191743, 0.151515, -0, -0, 0, 0.0371457
-0.467378, -0.467516, 0, 0.0742913, -0, 0.0557185, 0, 0.185728, -0.143807, 0.178886, -0, -0.0185728, 0, 0.0371457
-0.467605, -0.467582, 0, 0.0742913, -0, 0.0557185, 0, 0.204301, -0, 0.222874, -0, -0, 0, 0.0371457
-0.467606, -0.467498, 0, 0.0742913, -0, 0.0557185, -0.143807, 0.160313, -0, 0.241447, -0, -0.0185728, 0, 0.0371457
-0.467672, -0.467582, 0, 0.0557185, -0, 0.0371457, -0.191743, 0.132942, -0, 0.241447, -0, -0.0371457, 0, 0.0371457
-0.467715, -0.467545, 0, 0.0742913, -0, 0.0557185, -0.143807, 0.14174, -0, 0.241447, -0, -0.0371457, 0, 0.0371457
