RIGHT_FOOT_DISPLACEMENT, LEFT_FOOT_DISPLACEMENT, R_HIP_PITCH_PRESENT_VELOCITY, R_HIP_PITCH_LOAD, L_HIP_PITCH_PRESENT_VELOCITY, L_HIP_PITCH_LOAD, R_KNEE_PRESENT_VELOCITY, R_KNEE_LOAD, L_KNEE_PRESENT_VELOCITY, L_KNEE_LOAD, R_ANKLE_PITCH_PRESENT_VELOCITY, R_ANKLE_PITCH_LOAD, L_ANKLE_PITCH_PRESENT_VELOCITY, L_ANKLE_PITCH_LOAD
-0.466767, -0.466742, 0, -0.0459433, -0, -0.0371457, 0, -0.0645161, -0, -0.0557185, -0, -0.00977517, 0, 0.00977517
-0.466688, -0.466714, 0, -0.0459433, -0, -0.0371457, 0, -0.0645161, -0, -0.0469208, -0, -0.0185728, 0, 0.00977517
-0.466526, -0.466742, 0, -0.0928641, -0, -0.0742913, 0, -0.13001, -0, -0.111437, -0.0958713, -0.0909091, 0, 0.0185728
-0.466682, -0.466894, 0, -0.0928641, -0, -0.0742913, 0, -0.0928641, -0, -0.0742913, -0, -0.0928641, 0, 0.0185728
-0.466856, -0.466909, 0.0958713, -0.0576735, -0, -0.0742913, 0, -0.0742913, -0, -0.0557185, 0.0958713, -0.0391007, 0, 0
-0.467487, -0.467086, 0.0958713, -0.0576735, -0, -0.0928641, 0, -0.0557185, -0, -0.0371457, 0.287614, 0.0879765, 0, 0
-0.467716, -0.46711, 0, -0.0742913, -0, -0.0557185, 0, -0.0185728, -0, -0.0185728, 0.191743, 0.127077, 0, -0.0185728
-0.467061, -0.467282, 0, -0.0742913, -0, -0.0557185, 0, 0, -0, -0, -0.575228, -0.232649, 0, -0.0185728
-0.467764, -0.467357, 0, -0.0928641, -0, -0.0742913, 0, 0.0371457, -0, 0.0185728, 0.287614, 0.0136852, 0, -0.0185728
-0.468323, -0.467345, 0, -0.0928641, -0, -0.0928641, 0, 0.0185728, -0, 0.0371457, 0.958713, 0.338221, 0, -0.0185728
-0.467478, -0.46766, 0, -0.0742913, 0.0958713, -0.0576735, -0.0958713, 0.00195503, -0.0958713, 0.00195503, -0.623163, -0.221896, 0.0958713, 0.0166178
-0.467091, -0.467671, 0.0958713, -0.0391007, 0.0958713, -0.0391007, -0.143807, -0.0254154, -0, 0.0371457, -1.05458, -0.42913, 0, 0
-0.467978, -0.467625, 0, -0.0742913, 0.0958713, -0.0391007, -0.0958713, 0.00195503, -0, 0.0185728, -0.143807, -0.0997067, 0, -0.0371457
-0.468185, -0.467803, 0, -0.0742913, -0, -0.0742913, 0.0958713, 0.0909091, -0, 0.0185728, 0.479356, 0.159335, 0, -0.0185728
-0.468739, -0.467846, 0, -0.0557185, 0.0958713, -0.0391007, -0.239678, -0.0606061, -0, 0.0371457, -0, -0.0371457, 0, -0.0185728
-0.46903, -0.467948, 0, -0.0928641, -0, -0.0742913, 0.0958713, 0.0537634, -0.0958713, 0.0205279, 1.05458, 0.373412, 0, -0.0185728
-0.467982, -0.467859, 0, -0.0742913, 0.0958713, -0.0391007, -0.191743, -0.0342131, -0.0958713, 0.00195503, -1.05458, -0.410557, -0.0958713, -0.0909091
-0.468735, -0.468276, 0, -0.0928641, -0, -0.0557185, 0.143807, 0.11828, -0, 0.0185728, 1.24633, 0.44477, 0.191743, 0.0342131
-0.468028, -0.468495, 0, -0.0557185, -0, -0.0557185, -0.0958713, 0.0205279, -0, 0.0371457, -0.191743, -0.0899316, 0.239678, 0.0977517
-0.470016, -0.468646, 0, -0.0742913, -0, -0.0557185, -0.143807, -0.0439883, -0.0958713, 0.00195503, 0.623163, 0.240469, 0, 0.0185728
-0.469321, -0.468285, 0, -0.0928641, -0, -0.0742913, 0.239678, 0.0977517, -0, 0.0185728, 1.15046, 0.391007, -0.287614, -0.106549
-0.46888, -0.468491, 0, -0.0742913, -0, -0.0557185, -0.33555, -0.0967742, -0, 0.0185728, -1.00665, -0.383187, 0.0958713, -0.0205279
-0.469185, -0.469131, 0, -0.0742913, -0, -0.0742913, 0.191743, 0.0899316, -0.0958713, -0.0166178, 1.05458, 0.373412, 0.383485, 0.16129
-0.468763, -0.469144, 0, -0.0742913, -0, -0.0742913, 0, 0.0185728, -0.0958713, -0.0166178, -0.383485, -0.142717, 0.191743, 0.127077
-0.469606, -0.468576, 0, -0.0928641, 0.0958713, -0.0391007, -0.33555, -0.0967742, -0, -0, -0.623163, -0.259042, -0.383485, -0.124145
-0.469479, -0.468675, 0, -0.0928641, -0, -0.0742913, 0.191743, 0.0899316, -0, 0.0185728, 0.76697, 0.248289, -0.0958713, -0.0909091
-0.469357, -0.469328, 0.0958713, -0.0391007, -0, -0.0742913, -0.287614, -0.106549, -0.0958713, -0.0166178, -1.19839, -0.435973, 0.383485, 0.124145
-0.470063, -0.469497, 0, -0.0742913, -0, -0.0742913, 0.0958713, 0.0537634, -0, 0.0185728, 1.24633, 0.44477, 0, 0.0557185
-0.46907, -0.468896, 0.0958713, -0.0391007, -0, -0.0742913, -0.0958713, 0.00195503, -0, 0.0371457, -1.15046, -0.446725, -0.431421, -0.16911
-0.471514, -0.469799, 0, -0.0742913, -0, -0.0742913, 0, 0.0371457, -0.143807, -0.0254154, 1.24633, 0.463343, 0.527292, 0.168133
-0.469299, -0.469716, 0, -0.0742913, -0, -0.0742913, 0, 0.0371457, -0, 0.0185728, -0.287614, -0.143695, 0.143807, 0.0997067
-0.470446, -0.469024, 0, -0.0742913, 0.0958713, -0.0391007, -0.383485, -0.105572, -0, 0.0371457, -0.671099, -0.249267, -0.623163, -0.240469
-0.47135, -0.46927, 0, -0.0742913, -0, -0.0742913, 0, 0.0371457, -0, 0.0557185, 1.15046, 0.40958, -0.239678, -0.134897
-0.469775, -0.47, 0.0958713, -0.0391007, -0, -0.0557185, -0.191743, -0.0342131, -0.0958713, 0.0205279, -0.910777, -0.329423, 0.479356, 0.177908
-0.47075, -0.470097, 0, -0.0742913, -0, -0.0742913, -0.33555, -0.0782014, -0.0958713, 0.00195503, -0.431421, -0.187683, 0.287614, 0.143695
-0.470234, -0.469295, 0, -0.0928641, -0, -0.0742913, 0.191743, 0.108504, -0.0958713, 0.00195503, 0.623163, 0.203324, -0.623163, -0.240469
-0.470746, -0.470333, 0, -0.0742913, -0, -0.0557185, -0.239678, -0.0234604, -0, 0.0185728, -0.671099, -0.26784, 0.671099, 0.212121
-0.471463, -0.470649, 0, -0.0742913, -0, -0.0742913, 0, 0.0557185, -0, -0, 0.671099, 0.212121, 0.623163, 0.240469
-0.470763, -0.470032, 0, -0.0742913, -0, -0.0742913, 0.143807, 0.11828, -0, 0.0371457, 1.05458, 0.373412, -0.0958713, -0.0166178
-0.470748, -0.469505, 0.0958713, -0.0205279, -0, -0.0557185, -0.0958713, 0.00195503, -0, 0.0185728, -0, 0.0185728, -0.671099, -0.249267
-0.470399, -0.469589, 0.0958713, -0.0391007, -0, -0.0742913, -0.33555, -0.0967742, -0, 0.0371457, -1.00665, -0.383187, -0.479356, -0.196481
-0.472136, -0.470857, 0, -0.0742913, -0, -0.0742913, 0, -0.0185728, -0.143807, -0.0254154, 0.910777, 0.329423, 0.76697, 0.285435
-0.470435, -0.469751, 0, -0.0742913, -0, -0.0742913, 0, 0, -0.0958713, -0.0351906, -0.719035, -0.276637, -0.719035, -0.258065
-0.470661, -0.469932, 0.0958713, -0.0391007, 0.0958713, -0.0391007, 0, 0.0185728, -0, -0, -0.910777, -0.347996, -0.479356, -0.215054
-0.471053, -0.470746, 0, -0.0742913, -0, -0.0557185, -0.143807, -0.0254154, -0, 0.0185728, -0.239678, -0.0791789, 0, 0.0371457
-0.472114, -0.470126, 0, -0.0742913, -0, -0.0742913, -0.0958713, -0.0166178, -0, 0.0185728, -0, -0.0185728, -0.383485, -0.179863
-0.472542, -0.470773, 0, -0.0742913, -0, -0.0742913, 0, 0.0371457, -0, -0, 1.15046, 0.428153, 0.287614, 0.0508309
-0.471083, -0.471336, 0, -0.0928641, -0, -0.0742913, 0, 0.0371457, -0.143807, -0.0439883, -0.33555, -0.13392, 0.623163, 0.259042
-0.472518, -0.470491, 0.0958713, -0.0576735, -0, -0.0742913, -0.239678, -0.0606061, -0, -0, 0.0958713, -0.00195503, -0.575228, -0.214076
-0.471833, -0.470849, 0, -0.0742913, -0, -0.0742913, 0, 0.0371457, -0.0958713, -0.0166178, 0.287614, 0.106549, 0.191743, 0.0156403
-0.47122, -0.471465, 0, -0.0742913, -0, -0.0742913, -0.143807, -0.0254154, -0, 0.0185728, -1.05458, -0.410557, 0.575228, 0.214076
-0.473299, -0.470845, 0, -0.0928641, -0, -0.0928641, 0.0958713, 0.0723363, -0, 0.0371457, 1.19839, 0.4174, -0.527292, -0.168133
-0.471588, -0.471172, 0.143807, -0.0117302, 0.143807, -0.0117302, -0.383485, -0.124145, -0.143807, -0.0254154, -1.10252, -0.419355, 0.143807, -0.0117302
-0.472904, -0.471971, 0, -0.0928641, -0, -0.0742913, -0.143807, -0.0439883, -0, 0.0185728, 0.575228, 0.176931, 0.719035, 0.276637
-0.471799, -0.470835, 0.0958713, -0.0576735, -0, -0.0742913, 0, 0.0185728, -0, 0.0185728, -0.287614, -0.143695, -0.671099, -0.230694
-0.471367, -0.470748, 0.143807, -0.030303, 0.0958713, -0.0391007, 0, 0.0185728, -0, 0.0557185, -1.24633, -0.481916, -0.575228, -0.251222
-0.473589, -0.472198, 0, -0.0928641, -0, -0.0557185, 0.0958713, 0.0909091, -0.143807, -0.00684262, 1.24633, 0.426197, 0.719035, 0.276637
-0.471873, -0.47178, 0, -0.0928641, -0, -0.0371457, 0, 0.0742913, -0.0958713, -0.0166178, -0, -0.0371457, 0.143807, 0.0811339
-0.471664, -0.471056, 0.0958713, -0.0391007, -0, -0.0371457, -0.383485, -0.105572, -0, 0.0185728, -1.15046, -0.446725, -0.671099, -0.249267
-0.472853, -0.471198, 0, -0.0928641, -0, -0.0557185, -0.431421, -0.113392, -0, 0.0185728, -0.33555, -0.152493, -0.575228, -0.232649
-0.473471, -0.471627, 0, -0.0928641, -0, -0.0742913, -0.0958713, -0.0166178, -0.0958713, -0.0166178, 0.910777, 0.329423, 0.143807, 0.00684262
-0.47296, -0.472044, 0, -0.0742913, -0, -0.0557185, 0.143807, 0.0625611, -0.143807, -0.0439883, 1.00665, 0.364614, 0.623163, 0.184751
-0.471976, -0.471813, 0.0958713, -0.0576735, -0, -0.0742913, -0.191743, -0.0527859, -0, 0.0185728, -1.00665, -0.383187, -0.143807, -0.0254154
-0.472256, -0.472259, 0, -0.0742913, -0, -0.0557185, 0, 0, -0.0958713, -0.0166178, -0.575228, -0.232649, 0.527292, 0.14956
-0.474038, -0.472392, 0, -0.0742913, -0, -0.0742913, -0.0958713, -0.0166178, -0, 0.0185728, 0.575228, 0.195503, 0.0958713, 0.0723363
-0.472875, -0.471505, 0, -0.0742913, -0, -0.0742913, 0.0958713, 0.0723363, -0, 0.0185728, 0.143807, 0.0439883, -0.671099, -0.26784
-0.473731, -0.472911, 0, -0.0742913, 0.0958713, -0.0391007, -0.239678, -0.0606061, -0.143807, -0.0439883, -0.239678, -0.0977517, 0.719035, 0.258065
-0.474179, -0.472455, 0, -0.0928641, -0, -0.0742913, 0.0958713, 0.0537634, -0, -0, 1.00665, 0.346041, 0, 0.0185728
-0.473188, -0.471805, 0.143807, -0.030303, -0, -0.0557185, 0, 0.0371457, -0, 0.0185728, -0.910777, -0.347996, -0.431421, -0.206256
-0.473968, -0.473084, 0, -0.0928641, -0, -0.0557185, -0.0958713, 0.00195503, -0.0958713, -0.0166178, 1.00665, 0.364614, 0.719035, 0.276637
-0.472912, -0.471804, 0, -0.0928641, -0, -0.0742913, 0, 0.0557185, -0, 0.0185728, -0.958713, -0.375367, -0.814906, -0.311828
-0.474338, -0.472628, 0, -0.0742913, -0, -0.0742913, 0, 0.0557185, -0, 0.0185728, 0.239678, 0.0606061, 0.143807, 0.00684262
-0.473241, -0.472968, 0, 0.964809, -0, 0.964809, -0.143807, 0.0117302, -0, 0.0371457, -0.239678, -0.0791789, 0.143807, 0.0811339
-0.472587, -0.470733, -3.16375, 0.12219, -3.30756, 0.235582, 0.719035, -0.521994, 0.814906, -0.635386, 0.431421, -0.434995, -0.143807, -0.591398
-0.469907, -0.470453, -3.59517, -0.761486, -3.97866, -0.589443, 0.814906, -0.208211, 1.05458, -0.565005, 1.39013, 0.0244379, 2.06123, 0.404692
-0.466998, -0.468133, -0.287614, -0.44086, -1.10252, -0.410557, 0.479356, 0.0391007, 2.0133, 0.0146628, 1.48601, 0.347996, -0.239678, 0.0420332
-0.467665, -0.467421, 0.719035, -0.317693, -0, -0.251222, 0.0958713, 0.13783, 1.15046, -0.0733138, 0.33555, 0.105572, -0.910777, -0.00391007
-0.466806, -0.467598, 1.72568, 0.261975, 1.10252, 0.223851, -0.33555, 0.0889541, 1.05458, 0.16911, -0, -0.0371457, -0.143807, 0.104594
-0.46816, -0.467059, 0.431421, -0.229717, 0.191743, -0.0684262, 0, 0.501466, 0.479356, 0.12219, 0.623163, 0.13783, -0.383485, 0.14565
-0.468892, -0.468092, 0.719035, -0.196481, 0.287614, -0.0606061, -2.0133, -0.0430108, -0.719035, -0.202346, -0, -0.028348, -0.814906, -0.0146628
-0.467284, -0.468059, 0.862842, -0.13392, -0, -0.185728, -1.3422, -0.0439883, -0, -0.0557185, -0.191743, -0.155425, -0.575228, -0.0557185
-0.469009, -0.46741, 0.862842, -0.208211, 0.239678, -0.199413, -0.76697, 0.234604, -0, -0.0185728, 0.671099, 0.0723363, -0.0958713, 0.0674487
-0.468388, -0.467585, 1.3422, 0.156403, 0.623163, -0.0938416, -1.62981, -0.243402, -0, -0.00977517, -0, -0.111437, 0, 0.13001
