RIGHT_FOOT_DISPLACEMENT,LEFT_FOOT_DISPLACEMENT,R_HIP_PITCH_PRESENT_VELOCITY,R_HIP_PITCH_LOAD,L_HIP_PITCH_PRESENT_VELOCITY,L_HIP_PITCH_LOAD,R_KNEE_PRESENT_VELOCITY,R_KNEE_LOAD,L_KNEE_PRESENT_VELOCITY,L_KNEE_LOAD,R_ANKLE_PITCH_PRESENT_VELOCITY,R_ANKLE_PITCH_LOAD,L_ANKLE_PITCH_PRESENT_VELOCITY,L_ANKLE_PITCH_LOAD
-0.176737662,-0.178332868,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.176687246,-0.178330487,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.185728252,0,-0.037145652,0,-0.037145652
-0.176687333,-0.178332868,0,0.018572826,0,0.055718474,0,-0.111436948,0,-0.185728252,0,-0.018572826,0,-0.018572826
-0.176737537,-0.17830842,0,0.964809358,0,1,0,0.854349971,0,0.742913008,0,-0.964809358,0,-0.964809358
-0.177372027,-0.17830111,-0.095871292,0.951124132,-0.527292132,0.924731195,-0.431420833,0.644183755,-0.191742584,0.641251206,0.479356468,-0.896383166,0.527292132,-0.889540553
-0.177960447,-0.177541031,-1.390133739,0.600195527,-2.157104015,0.249266863,-1.390133739,-0.049853373,-1.150455475,-0.0342131,2.540589333,-0.602150559,2.492653608,-0.608993173
-0.178060197,-0.177524955,-2.492653608,-0.077223852,-3.01994586,-0.30107528,-2.061232805,-0.498533726,-2.061232805,-0.591397822,4.218337059,0.2678397,4.026594162,0.166177914
-0.177793057,-0.176900732,-2.924074411,-0.398826987,-2.780267477,-0.415444762,-1.917425871,-0.570869982,-1.917425871,-0.608015656,4.362143993,0.566959918,4.122465611,0.439882696
-0.17773306,-0.175541068,-2.20503974,-0.611925721,-1.629812002,-0.492668629,-0.958712935,-0.471163243,-0.623163402,-0.367546439,2.348846674,0.428152502,2.876138926,0.707722366
-0.178593219,-0.175398603,-1.246326804,-0.642228723,-0.575227737,-0.416422278,-0.095871292,-0.440860212,0.383485168,-0.298142731,0.527292132,0.391006857,0.862841666,0.513196468
