RIGHT_FOOT_DISPLACEMENT, LEFT_FOOT_DISPLACEMENT, R_HIP_PITCH_PRESENT_VELOCITY, R_HIP_PITCH_LOAD, L_HIP_PITCH_PRESENT_VELOCITY, L_HIP_PITCH_LOAD, R_KNEE_PRESENT_VELOCITY, R_KNEE_LOAD, L_KNEE_PRESENT_VELOCITY, L_KNEE_LOAD, R_ANKLE_PITCH_PRESENT_VELOCITY, R_ANKLE_PITCH_LOAD, L_ANKLE_PITCH_PRESENT_VELOCITY, L_ANKLE_PITCH_LOAD
-0.208493, -0.208289, 0, 0.204301, -0, 0.222874, 0, 0.148583, -0, 0.167155, -0, 0.0185728, 0, 0.0185728
-0.208493, -0.208309, 0, 0.204301, -0, 0.241447, 0, 0.148583, -0, 0.167155, -0, 0.0185728, 0, 0.0185728
-0.208472, -0.208309, 0, 0.185728, -0, 0.241447, 0, 0.148583, -0, 0.167155, -0, 0.0185728, 0, 0.0185728
-0.208576, -0.208289, 0, 0.185728, -0, 0.222874, 0, 0.13001, -0, 0.167155, -0, 0.0185728, 0, 0.0185728
-0.208528, -0.208309, 0, 0.185728, -0, 0.241447, 0, 0.148583, -0, 0.167155, -0, 0.0185728, 0, 0.0185728
-0.208493, -0.208309, 0, 0.204301, -0, 0.241447, 0, 0.148583, -0, 0.167155, -0, -0.0185728, 0, -0.0185728
-0.208571, -0.208309, 0, 0.204301, -0, 0.241447, 0, 0.148583, -0, 0.167155, -0, -0.0185728, 0, -0.0185728
-0.208488, -0.208309, 0, 0.204301, -0, 0.241447, 0, 0.148583, -0, 0.167155, -0, -0, 0, -0.0185728
-0.208591, -0.208304, 0, 0.204301, -0, 0.222874, 0, 0.13001, -0, 0.185728, -0, -0, 0, 0
-0.20851, -0.208253, 0, 0.204301, -0, 0.222874, 0, 0.148583, -0, 0.185728, -0, -0, 0, -0.0185728
-0.208484, -0.208247, 0, 0.185728, -0, 0.222874, 0, 0.167155, -0, 0.185728, -0, -0, 0, 0
-0.208533, -0.208329, 0, 0.167155, -0, 0.222874, 0, 0.167155, -0, 0.167155, -0, -0, 0, 0
-0.208554, -0.208247, 0, 0.185728, -0, 0.222874, 0, 0.167155, -0, 0.185728, -0, -0, 0, 0
-0.208497, -0.208133, 0, 0.185728, -0, 0.222874, 0, 0.167155, -0, 0.204301, -0, -0, 0, 0
-0.208571, -0.208185, 0, 0.185728, -0, 0.222874, 0, 0.167155, -0, 0.204301, -0, -0, 0, 0
-0.208551, -0.208127, 0, 0.167155, -0, 0.222874, 0, 0.167155, -0, 0.204301, -0, -0, 0, 0
-0.208566, -0.208102, 0, 0.185728, -0, 0.204301, 0, 0.167155, -0, 0.204301, -0, -0, 0, 0
-0.208509, -0.208122, 0, 0.185728, -0, 0.222874, 0, 0.167155, -0, 0.204301, -0, -0, 0, 0
-0.208561, -0.208144, 0, 0.185728, -0, 0.222874, 0, 0.167155, -0, 0.222874, -0, -0, 0, 0
-0.208577, -0.208138, 0, 0.185728, -0, 0.222874, 0, 0.167155, -0, 0.222874, -0, -0, 0, 0
-0.208568, -0.208094, 0, 0.167155, -0, 0.222874, 0, 0.185728, -0, 0.222874, -0, 0.0185728, 0, 0
-0.208587, -0.208147, 0, 0.185728, -0, 0.222874, 0, 0.185728, -0, 0.241447, -0, -0, 0, 0
-0.208581, -0.208162, 0, 0.185728, -0, 0.222874, 0, 0.185728, -0, 0.241447, -0, -0, 0, 0
