RIGHT_FOOT_DISPLACEMENT,LEFT_FOOT_DISPLACEMENT,R_HIP_PITCH_PRESENT_VELOCITY,R_HIP_PITCH_LOAD,L_HIP_PITCH_PRESENT_VELOCITY,L_HIP_PITCH_LOAD,R_KNEE_PRESENT_VELOCITY,R_KNEE_LOAD,L_KNEE_PRESENT_VELOCITY,L_KNEE_LOAD,R_ANKLE_PITCH_PRESENT_VELOCITY,R_ANKLE_PITCH_LOAD,L_ANKLE_PITCH_PRESENT_VELOCITY,L_ANKLE_PITCH_LOAD
-0.174265,-0.173674,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174289,-0.173726,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174289,-0.173678,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0
-0.174289,-0.173726,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174289,-0.173592,0,-0.0742913,0,-0.148583,0,0.222874,0,0.315738,0,-0.0742913,0,0.0185728
-0.174259,-0.173726,0,-0.0557185,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174237,-0.173644,0,-0.0742913,0,-0.148583,0,0.222874,0,0.315738,0,-0.0742913,0,0.0185728
-0.174289,-0.173726,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174237,-0.173726,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174237,-0.17373,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0
-0.174213,-0.173674,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174289,-0.173592,0,-0.0742913,0,-0.148583,0,0.222874,0,0.315738,0,-0.0742913,0,0.0185728
-0.174259,-0.173674,0,-0.0557185,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174237,-0.173592,0,-0.0742913,0,-0.148583,0,0.222874,0,0.315738,0,-0.0742913,0,0.0185728
-0.174289,-0.173674,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174265,-0.173726,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174289,-0.173695,0,-0.0742913,0,-0.13001,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174213,-0.173644,0,-0.0742913,0,-0.148583,0,0.222874,0,0.315738,0,-0.0742913,0,0.0185728
-0.174289,-0.173726,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174289,-0.173678,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0
-0.174289,-0.173726,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174289,-0.173674,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174289,-0.173695,0,-0.0742913,0,-0.13001,0,0.222874,0,0.315738,0,-0.0742913,0,0.0185728
-0.174259,-0.173726,0,-0.0557185,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174289,-0.173726,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174237,-0.173695,0,-0.0742913,0,-0.13001,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174237,-0.173674,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174289,-0.173726,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
-0.174265,-0.173726,0,-0.0742913,0,-0.148583,0,0.222874,0,0.297165,0,-0.0742913,0,0.0185728
