RIGHT_FOOT_DISPLACEMENT,LEFT_FOOT_DISPLACEMENT,R_HIP_PITCH_PRESENT_VELOCITY,R_HIP_PITCH_LOAD,L_HIP_PITCH_PRESENT_VELOCITY,L_HIP_PITCH_LOAD,R_KNEE_PRESENT_VELOCITY,R_KNEE_LOAD,L_KNEE_PRESENT_VELOCITY,L_KNEE_LOAD,R_ANKLE_PITCH_PRESENT_VELOCITY,R_ANKLE_PITCH_LOAD,L_ANKLE_PITCH_PRESENT_VELOCITY,L_ANKLE_PITCH_LOAD
-0.177534621,-0.176922654,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.204301074,0,-0.111436948,0,-0.055718474
-0.177534621,-0.177002431,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177511434,-0.177002431,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177534621,-0.177051062,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177534621,-0.177051062,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177534621,-0.177051062,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177511434,-0.177002431,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177509735,-0.177002431,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177511434,-0.177002431,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177534621,-0.17697132,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.204301074,0,-0.111436948,0,-0.055718474
-0.177534621,-0.177002431,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177511434,-0.177051062,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177511434,-0.177002431,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177534621,-0.177051062,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177534621,-0.177051062,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177534621,-0.177002431,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177534621,-0.177002431,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177511434,-0.177002431,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177534621,-0.177002431,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177486471,-0.177051062,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177511434,-0.176922654,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.204301074,0,-0.111436948,0,-0.055718474
-0.177534621,-0.177051062,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177534621,-0.177051062,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177511434,-0.177002431,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177511434,-0.177002431,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177534621,-0.177051062,0,-0.204301074,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177511434,-0.177051062,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177511434,-0.177051062,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
-0.177511434,-0.177051062,0,-0.222873896,0,-0.111436948,0,0.13000977,0,0.185728252,0,-0.111436948,0,-0.055718474
